,originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalCredits,titleType,canHaveEpisodes,numRegions,countryOfOrigin,genres,ratingNum,numGenres,criticReviewsRatio,awardsAndNominations,hasVideos,moreCountriesOfOrigin
62,Episode #1.4,"(6, 7]",2023,3.784189633918261,4.07753744390572,0.6931471805599453,5.1298987149230735,tvEpisode,False,2.0794415416798357,['SE'],"['Crime', 'Drama', 'Mystery']",7,3,0.0,False,False,False
63,Saknys karcios,"(8, 9]",2016,2.8903717578961645,2.8903717578961645,2.3978952727983707,3.1780538303479458,short,False,1.0986122886681098,['LT'],"['Drama', 'Short']",9,2,0.0,True,False,False
64,Mary & Adam,"(6, 7]",2018,3.7376696182833684,3.6109179126442243,0.6931471805599453,3.7376696182833684,tvEpisode,False,0.6931471805599453,['US'],"['Reality-TV', 'Romance']",7,2,0.0,False,False,False
65,Hallucination musicale,"(6, 7]",1906,1.9459101490553132,2.5649493574615367,0.0,1.0986122886681098,short,False,1.0986122886681098,['FR'],['Short'],7,1,0.0,False,False,False
66,Gamma Level: Radioactive,"(8, 9]",1996,3.258096538021482,2.70805020110221,0.6931471805599453,4.110873864173311,tvEpisode,False,0.6931471805599453,['AU'],"['Action', 'Adventure', 'Family']",9,3,1.0,False,False,False
67,Le magicien,"(6, 7]",1898,0.6931471805599453,6.927557906278317,2.0794415416798357,1.3862943611198906,short,False,2.0794415416798357,['FR'],"['Fantasy', 'Horror', 'Short']",7,3,0.25,False,False,False
68,New Roles,"(9, 10]",2020,3.713572066704308,3.784189633918261,0.6931471805599453,3.912023005428146,tvEpisode,False,0.6931471805599453,['IN'],['Drama'],10,1,0.0,False,False,False
69,David Lomas Investigates,"(9, 10]",2020,3.4657359027997265,3.091042453358316,1.3862943611198906,2.302585092994046,tvSeries,True,1.0986122886681098,['NZ'],['Reality-TV'],10,1,0.0,False,False,False
70,Una leyenda de amor,"(7, 8]",1982,4.624972813284271,2.772588722239781,1.0986122886681098,3.6375861597263857,movie,False,0.6931471805599453,['MX'],"['Drama', 'Romance']",8,2,0.0,True,False,False
71,Les p'tites têtes,"(3, 4]",1982,4.356708826689592,3.332204510175204,0.6931471805599453,4.02535169073515,movie,False,1.0986122886681098,['FR'],['Comedy'],4,1,0.0,False,False,False
72,Throne for a Loss,"(5, 6]",1966,1.9459101490553132,2.5649493574615367,0.0,2.4849066497880004,short,False,0.6931471805599453,['US'],"['Animation', 'Short']",6,2,0.0,False,False,False
73,Falling for You,"(9, 10]",2016,3.713572066704308,2.5649493574615367,0.6931471805599453,4.852030263919617,tvEpisode,False,0.6931471805599453,['CA'],"['Family', 'Music']",10,2,0.0,False,False,False
74,Defund,"(5, 6]",2021,2.70805020110221,2.995732273553991,1.9459101490553132,3.091042453358316,short,False,0.6931471805599453,['CA'],['Short'],6,1,1.0,True,False,False
75,His Favorite Pastime,"(4, 5]",1914,2.833213344056216,7.134093721192866,2.3978952727983707,2.995732273553991,short,False,2.833213344056216,['US'],"['Comedy', 'Short']",5,2,0.2857142857142857,False,False,False
76,I sette del gruppo selvaggio,"(4, 5]",1975,4.51085950651685,4.248495242049359,0.6931471805599453,3.828641396489095,movie,False,2.302585092994046,['IT'],['Western'],5,1,0.0,False,False,False
77,La caperucita roja,"(5, 6]",1960,4.454347296253507,4.9344739331306915,1.0986122886681098,4.204692619390966,movie,False,1.791759469228055,['MX'],"['Drama', 'Fantasy']",6,2,0.5,False,False,False
78,Vingt et une nuits avec Pattie,"(6, 7]",2015,4.51085950651685,6.523562306149512,1.3862943611198906,4.48863636973214,movie,False,2.772588722239781,['FR'],"['Comedy', 'Drama', 'Mystery']",7,3,0.8461538461538461,True,True,False
79,"Duck! Rabbit, Duck!","(8, 9]",1953,2.0794415416798357,8.200837258379849,2.772588722239781,2.8903717578961645,short,False,2.5649493574615367,['US'],"['Adventure', 'Animation', 'Comedy']",9,3,0.07407407407407407,False,False,False
80,Ganz feine Leute,"(6, 7]",1980,3.2188758248682006,3.367295829986474,0.0,1.3862943611198906,tvEpisode,False,0.6931471805599453,['JP'],"['Adventure', 'Animation', 'Comedy']",7,3,0.0,False,False,False
81,My So-Called Life: My So-Called Life Story,"(9, 10]",2007,3.2188758248682006,2.8903717578961645,0.0,3.4339872044851463,video,False,0.6931471805599453,['US'],"['Documentary', 'Short']",10,2,0.0,False,False,False
82,Now You See It,"(7, 8]",2017,1.3862943611198906,3.8066624897703196,0.6931471805599453,2.0794415416798357,short,False,1.0986122886681098,['GB'],"['Animation', 'Short']",8,2,0.0,False,False,False
83,Rose,"(6, 7]",2014,4.51085950651685,2.9444389791664403,0.6931471805599453,2.9444389791664403,movie,False,0.6931471805599453,['IN'],"['Drama', 'Romance']",7,2,0.0,False,True,False
84,The Sins of the Fathers,"(8, 9]",1970,3.713572066704308,4.290459441148391,2.4849066497880004,3.7612001156935624,tvEpisode,False,0.6931471805599453,['US'],['Western'],9,1,0.3333333333333333,False,False,False
85,Dao,"(6, 7]",1995,4.663439094112067,8.201111644442758,2.772588722239781,4.718498871295094,movie,False,2.995732273553991,"['HK', 'CN']",['Action'],7,1,0.2727272727272727,True,False,True
86,JFK: The Final Evidence,"(7, 8]",2023,4.110873864173311,3.4965075614664802,1.791759469228055,3.044522437723423,tvMiniSeries,True,1.0986122886681098,['GB'],"['Action', 'Crime', 'Documentary']",8,3,0.0,False,False,False
87,Colours,"(6, 7]",2003,3.044522437723423,3.4657359027997265,1.0986122886681098,3.4657359027997265,short,False,0.6931471805599453,['ES'],"['Comedy', 'Short']",7,2,0.0,True,False,False
